model,steps,baseline,fad_score_laion,fad_score_encodec
musicAudioLDM,10,musiccaps,0.46420300943915793,45.605617383328465
musicAudioLDM,25,musiccaps,0.3882645887871833,39.425720778185266
musicAudioLDM,50,musiccaps,0.3800962797695122,37.78288863923639
musicAudioLDM,100,musiccaps,0.36847334297355866,36.89389538987481
musicAudioLDM,150,musiccaps,0.37327895428280505,38.0626578262403
musicAudioLDM,200,musiccaps,0.3588288536908817,37.43727950204286
musicAudioLDM,10,songdescriber,0.49030910807936945,93.1501698690748
musicAudioLDM,25,songdescriber,0.4367852126690819,81.16009459134567
musicAudioLDM,50,songdescriber,0.43329874229095405,75.68288916977721
musicAudioLDM,100,songdescriber,0.43420504187409603,76.23146966001926
musicAudioLDM,150,songdescriber,0.44050835406223204,84.7460957883472
musicAudioLDM,200,songdescriber,0.44003038256631954,74.98625961869956
