Model,Baseline,Steps,Avg_CE,Avg_CU,Avg_PC,Avg_PQ
musicSAO,musiccaps,10,5.452520597775777,6.925653474330902,3.3452317814032235,7.115592971642812
musicSAO,musiccaps,25,6.002226031621297,7.172917544047038,3.2807196187973022,7.3045041171709695
musicSAO,musiccaps,50,6.023632450898488,7.179566441377004,3.4488567956288656,7.336824309825897
musicSAO,musiccaps,100,6.12372599363327,7.240622277259827,3.461872073014577,7.388154845237732
musicSAO,musiccaps,150,6.1293119279543555,7.235404458840688,3.4643092624346417,7.396066269874573
musicSAO,musiccaps,200,6.1410779317220054,7.237895244757334,3.472397547165553,7.385096464157105
musicSAO,songdescriber,10,5.879587117830912,7.267450819810231,3.628257860740026,7.311923042933146
musicSAO,songdescriber,25,6.342344608306885,7.4331678167978925,3.652487777074178,7.475725242296854
musicSAO,songdescriber,50,6.446527307033539,7.4854337286949155,3.8263088353474934,7.528776110013326
musicSAO,songdescriber,100,6.443285016218821,7.486212921142578,3.8245766790707907,7.53582302570343
musicSAO,songdescriber,150,6.444708032608032,7.488169600168864,3.822603926261266,7.537545329729716
musicSAO,songdescriber,200,6.459635059038798,7.498076815605163,3.821402815580368,7.544815810521444
